#Log of APF observations
# Filename, Tobj, Obj, Thorium1, Thorium2, Halogen1, Halogen2, Date, RA, Dec, Md5, Filesize
gs://apf_test/ranu.194.fits HIP23875 HIP23875 Off Off Off Off 2016-02-06T02:49:47.86  5:07:50.8  -5:05:12.0 c0249fd9fe8cd34713f54565792251f5 1477440
gs://apf_test/ucb-anu194.fits HIP23875 HIP23875 Off Off Off Off 2016-02-06T02:49:47.86  5:07:50.8  -5:05:12.0 2a9ed49637cd3980c632fb4cdcf75618 19189440
gs://apf_test/ranu.276.fits HIP42172 HIP42172 Off Off Off Off 2016-02-06T08:42:53.55  8:35:51.0   6:37:12.8 da67e4b5668ad080fb61901253dd1019 1477440
gs://apf_test/ucb-anu276.fits HIP42172 HIP42172 Off Off Off Off 2016-02-06T08:42:53.55  8:35:51.0   6:37:12.8 e1b93e4bfaffc57475c3f3fe8c31b05b 19189440
gs://apf_test/ranu.280.fits HIP54872 HIP54872 Off Off Off Off 2016-02-06T10:25:19.35 11:14:06.6  20:31:23.0 41ae34a66c6ba32dca2a3c142e8b4b1f 1477440
gs://apf_test/ucb-anu280.fits HIP54872 HIP54872 Off Off Off Off 2016-02-06T10:25:19.35 11:14:06.6  20:31:23.0 4ae92858e76b4c21e1945cfca6e9076e 19189440
gs://apf_test/ranu.281.fits HIP58001 HIP58001 Off Off Off Off 2016-02-06T10:27:14.88 11:53:50.0  53:41:41.0 726b51d42bf2cbe2994681974d63fbc6 1477440
gs://apf_test/ucb-anu281.fits HIP58001 HIP58001 Off Off Off Off 2016-02-06T10:27:14.88 11:53:50.0  53:41:41.0 a7c48ea808917d5cb42c39de1bff87ac 19189440
gs://apf_test/ranu.282.fits HIP56445 HIP56445 Off Off Off Off 2016-02-06T10:33:55.91 11:34:21.9   3:03:36.6 13de929da801b9c760cbb9fcfcfbff49 1477440
gs://apf_test/ucb-anu282.fits HIP56445 HIP56445 Off Off Off Off 2016-02-06T10:33:55.91 11:34:21.9   3:03:36.6 cfba579c305d3d01571f5a9aab91133c 19189440
gs://apf_test/ranu.316.fits HIP71075 HIP71075 Off Off Off Off 2016-02-06T13:54:56.65 14:32:04.5  38:18:32.0 2a6e875f265b8b62161dfea8165b8f7f 1477440
gs://apf_test/ucb-anu316.fits HIP71075 HIP71075 Off Off Off Off 2016-02-06T13:54:56.65 14:32:04.5  38:18:32.0 622bcdb3aef02532bc46bce1afd90295 19189440
gs://apf_test/ranv.215.fits HIP27288 HIP27288 Off Off Off Off 2016-02-08T03:21:54.90  5:46:57.3 -14:49:19.0 fd59b88c67bb7a5d59ea5124adcc71c3 1477440
gs://apf_test/ucb-anv215.fits HIP27288 HIP27288 Off Off Off Off 2016-02-08T03:21:54.90  5:46:57.3 -14:49:19.0 70dce2c9943ee7125a608ae268767b5e 19189440
gs://apf_test/ranv.230.fits HIP27288 HIP27288 Off Off Off Off 2016-02-08T04:13:51.98  5:46:57.3 -14:49:19.0 0090a30f3ad060ff0f1b1fdf12dfad24 1477440
gs://apf_test/ucb-anv230.fits HIP27288 HIP27288 Off Off Off Off 2016-02-08T04:13:51.98  5:46:57.3 -14:49:19.0 2ec3f8855d829b8afdc273a2c222e75c 19189440
gs://apf_test/ranv.272.fits HIP42172 HIP42172 Off Off Off Off 2016-02-08T06:52:30.80  8:35:51.0   6:37:12.8 2af4e2cc511fe619a7f4cebe645db1d3 1477440
gs://apf_test/ucb-anv272.fits HIP42172 HIP42172 Off Off Off Off 2016-02-08T06:52:30.80  8:35:51.0   6:37:12.8 a08209f2aff03882d18062be6ac65501 19189440
gs://apf_test/ranv.280.fits HIP46853 HIP46853 Off Off Off Off 2016-02-08T07:53:21.83  9:32:49.8  51:40:29.0 08f8283d717f79e8d36d781aab9b592e 1477440
gs://apf_test/ucb-anv280.fits HIP46853 HIP46853 Off Off Off Off 2016-02-08T07:53:21.83  9:32:49.8  51:40:29.0 c407972751bcc0e28525fb74566db53b 19189440
gs://apf_test/ranv.285.fits HIP50372 HIP50372 Off Off Off Off 2016-02-08T08:50:40.68 10:17:05.5  42:54:51.0 4b8ba85cbae73fc0ff23a17e87019d7a 1477440
gs://apf_test/ucb-anv285.fits HIP50372 HIP50372 Off Off Off Off 2016-02-08T08:50:40.68 10:17:05.5  42:54:51.0 091fdfb852faf822c0b08d42de29542f 19189440
gs://apf_test/ranv.299.fits HIP81833 HIP81833 Off Off Off Off 2016-02-08T09:51:08.66 16:42:53.8  38:55:18.0 43177d4e37506a2dfd56d94aa450b24b 1477440
gs://apf_test/ucb-anv299.fits HIP81833 HIP81833 Off Off Off Off 2016-02-08T09:51:08.66 16:42:53.8  38:55:18.0 e571d683ff0b01e025c3ffc445158e27 19189440
gs://apf_test/ranv.301.fits HIP77233 HIP77233 Off Off Off Off 2016-02-08T10:21:01.33 15:46:11.3  15:25:17.0 e3056c11e9782a120546a9a594feaad2 1477440
gs://apf_test/ucb-anv301.fits HIP77233 HIP77233 Off Off Off Off 2016-02-08T10:21:01.33 15:46:11.3  15:25:17.0 1b4909048d7e1556867b10e8f3232038 19189440
gs://apf_test/ranv.303.fits HIP56445 HIP56445 Off Off Off Off 2016-02-08T10:36:08.85 11:34:21.9   3:03:36.6 4b6e4e141c8140d2fd8412d3fddfc1fc 1477440
gs://apf_test/ucb-anv303.fits HIP56445 HIP56445 Off Off Off Off 2016-02-08T10:36:08.85 11:34:21.9   3:03:36.6 54baa39656760018c56cee7951725499 19189440
gs://apf_test/ranv.307.fits HIP57757 HIP57757 Off Off Off Off 2016-02-08T11:22:47.90 11:50:42.5   1:45:48.0 417186c3fe9ccb6e2dc8923ef980e931 1477440
gs://apf_test/ucb-anv307.fits HIP57757 HIP57757 Off Off Off Off 2016-02-08T11:22:47.90 11:50:42.5   1:45:48.0 c7ae8f7823ed57a35f77ee053fe896a2 19189440
gs://apf_test/ranv.308.fits HIP59774 HIP59774 Off Off Off Off 2016-02-08T11:25:03.87 12:15:25.7  57:01:57.0 c7cbfdd08a224c6fcc95ae1c168dc386 1477440
gs://apf_test/ucb-anv308.fits HIP59774 HIP59774 Off Off Off Off 2016-02-08T11:25:03.87 12:15:25.7  57:01:57.0 6d4669240d7137160f1ec3ec3361fd09 19189440
gs://apf_test/ranv.312.fits HIP85157 HIP85157 Off Off Off Off 2016-02-08T11:45:34.34 17:24:06.6  22:57:37.4 7360bd4ea003775169ded0bfd3063c43 1477440
gs://apf_test/ucb-anv312.fits HIP85157 HIP85157 Off Off Off Off 2016-02-08T11:45:34.34 17:24:06.6  22:57:37.4 794efd2b807652165006af9d02211f19 19189440
gs://apf_test/ranv.316.fits HIP83000 HIP83000 Off Off Off Off 2016-02-08T11:53:23.88 16:57:39.7   9:22:29.0 79617ff93d9aab422aab2321a8b0c692 1477440
gs://apf_test/ucb-anv316.fits HIP83000 HIP83000 Off Off Off Off 2016-02-08T11:53:23.88 16:57:39.7   9:22:29.0 7a7def49c05cd885499cfa3679769474 19189440
gs://apf_test/ranv.317.fits HIP79882 HIP79882 Off Off Off Off 2016-02-08T11:54:59.43 16:18:19.3  -4:41:32.0 f6b9bb09e93ec8f896f7c34a097ec4be 1477440
gs://apf_test/ucb-anv317.fits HIP79882 HIP79882 Off Off Off Off 2016-02-08T11:54:59.43 16:18:19.3  -4:41:32.0 c1763a3c4314b8678fb27c5b83d8018d 19189440
gs://apf_test/ranv.323.fits HIP77464 HIP77464 Off Off Off Off 2016-02-08T12:25:40.87 15:48:56.8  -3:49:06.7 9f7007b3142c99c8da95afd3aec1b891 1477440
gs://apf_test/ucb-anv323.fits HIP77464 HIP77464 Off Off Off Off 2016-02-08T12:25:40.87 15:48:56.8  -3:49:06.7 e5f36c63e228cd5d46c71c452df134d7 19189440
gs://apf_test/ranv.345.fits HIP74666 HIP74666 Off Off Off Off 2016-02-08T14:17:01.11 15:15:30.2  33:18:51.0 8a281753116ff1d499619e0db2f3dff2 1477440
gs://apf_test/ucb-anv345.fits HIP74666 HIP74666 Off Off Off Off 2016-02-08T14:17:01.11 15:15:30.2  33:18:51.0 7595874e66fa1379ccb62a5945dfe53f 19189440
gs://apf_test/ranw.196.fits HIP677 HIP677 Off Off Off Off 2016-02-09T02:42:42.42  0:08:23.4  29:05:22.0 3b2a3a849b2846e173d3097f55f0cff2 1477440
gs://apf_test/ucb-anw196.fits HIP677 HIP677 Off Off Off Off 2016-02-09T02:42:42.42  0:08:23.4  29:05:22.0 09acd7a31087daac365a2f96b597f068 19189440
gs://apf_test/ranw.195.fits HIP8903 HIP8903 Off Off Off Off 2016-02-09T02:41:29.55  1:54:38.5  20:48:27.0 4e10949f2ee2ed7347c88e63258b849a 1477440
gs://apf_test/ucb-anw195.fits HIP8903 HIP8903 Off Off Off Off 2016-02-09T02:41:29.55  1:54:38.5  20:48:27.0 b6b250196aca59021487e4c2c0f7596b 19189440
gs://apf_test/ranw.197.fits HIP105199 HIP105199 Off Off Off Off 2016-02-09T02:45:39.10 21:18:35.1  62:35:08.0 5765ecfcdc125dd93e619fb94eff5181 1477440
gs://apf_test/ucb-anw197.fits HIP105199 HIP105199 Off Off Off Off 2016-02-09T02:45:39.10 21:18:35.1  62:35:08.0 20d42eb8e839c9c9a4091ecd7358dd03 19189440
gs://apf_test/ranw.215.fits HIP677 HIP677 Off Off Off Off 2016-02-09T03:37:39.85  0:08:23.4  29:05:22.0 6fc03306cac64d1046ccc1c670c5b8f7 1477440
gs://apf_test/ucb-anw215.fits HIP677 HIP677 Off Off Off Off 2016-02-09T03:37:39.85  0:08:23.4  29:05:22.0 9c769a03cfd2d8b1160e754cd21ea562 19189440
gs://apf_test/ranw.216.fits HIP105199 HIP105199 Off Off Off Off 2016-02-09T03:42:10.29 21:18:35.1  62:35:08.0 0f90d73cb397bb6053652b6e09c1c6ca 1477440
gs://apf_test/ucb-anw216.fits HIP105199 HIP105199 Off Off Off Off 2016-02-09T03:42:10.29 21:18:35.1  62:35:08.0 35911c5381339e6de8a1f36e7d43491d 19189440
gs://apf_test/ranw.242.fits GJ244 GJ244 Off Off Off Off 2016-02-09T05:00:15.98  6:45:08.2 -16:43:17.0 05e5d950af64f793f0c460625351b2ba 1477440
gs://apf_test/ucb-anw242.fits GJ244 GJ244 Off Off Off Off 2016-02-09T05:00:15.98  6:45:08.2 -16:43:17.0 ce298bb9a9dbe9bc756a38ede878ff1b 19189440
gs://apf_test/ranw.262.fits GJ280 GJ280 Off Off Off Off 2016-02-09T05:54:13.12  7:39:17.3   5:13:13.0 3c9ae7a5d35ecba3e5931b6da1f395eb 1477440
gs://apf_test/ucb-anw262.fits GJ280 GJ280 Off Off Off Off 2016-02-09T05:54:13.12  7:39:17.3   5:13:13.0 3637a433a4f535dd618ace828890c16e 19189440
gs://apf_test/ranw.274.fits HIP80331 HIP80331 Off Off Off Off 2016-02-09T07:04:57.19 16:23:59.4  61:30:52.0 d51028c6043abe7856eb44a0e0cf5dda 1477440
gs://apf_test/ucb-anw274.fits HIP80331 HIP80331 Off Off Off Off 2016-02-09T07:04:57.19 16:23:59.4  61:30:52.0 96c8b6d193de4bb4d6e053f962619f4f 19189440
gs://apf_test/ranw.272.fits HIP42172 HIP42172 Off Off Off Off 2016-02-09T07:00:31.98  8:35:51.0   6:37:12.8 c9f1cab3b09ce8e15a3c5b017c21a561 1477440
gs://apf_test/ucb-anw272.fits HIP42172 HIP42172 Off Off Off Off 2016-02-09T07:00:31.98  8:35:51.0   6:37:12.8 783e8bd9a95a764995a9404534cffaab 19189440
gs://apf_test/ranw.304.fits HIP56445 HIP56445 Off Off Off Off 2016-02-09T10:18:35.33 11:27:47.5  34:26:25.8 bf4486b030b44139dbf3ecf8dd0d50af 1477440
gs://apf_test/ucb-anw304.fits HIP56445 HIP56445 Off Off Off Off 2016-02-09T10:18:35.33 11:27:47.5  34:26:25.8 02eb07eae57f36a29122247636637b2e 19189440
gs://apf_test/ranw.305.fits HIP67301 HIP67301 Off Off Off Off 2016-02-09T12:09:41.03 13:47:32.2  49:18:47.0 3b5d2922e299e920dcdd0f1ba7052120 1477440
